dataset,dataset_params,queryset,queryset_params,algorithm,sha,date,git_rev,hostname,conf_file,dataset_version,queryset_version,algorithm_params,algorithm_version,index_size_bytes,is_estimate,queryset_n,dataset_n,time_queries,time_index,total_time,algorithm_wpar,qps,workload_type,start_times_distribution
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=10000 durmax_low=1 durmax_high=100,period-index++,1e4cd59227780a08c5d0feb9512a210fa406b3be3de08a7d82d41161a11935f9,2020-10-12T14:17:17Z,031cc06,ironmaiden,experiments/all.yml,4,5,page_size=10,15,56,FALSE,5000,10000000,194,686,880,period-index++.page_size=10,25773.19587628866,duration,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=10000 durmax_low=1 durmax_high=10000,BTree,b2a36f9f45fe03887c6e76fe28bbaf481052fc2cacdda4a48c7d8bb319b5bcc0,2020-09-24T22:23:21Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,24,FALSE,5000,10000000,4559,2349,6908,BTree.,1096.7317394165386,duration,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=10000 durmax_low=1 durmax_high=10000,grid-file,b0e2eaf25976f167b39dae8b89d47e6130f6a3a3db9c6db66e8dca1b00f758bb,2020-10-14T14:42:59Z,a71767e,ironmaiden,experiments/all.yml,4,5,side_cells=1000,1,28132,FALSE,5000,10000000,53258,642,53900,grid-file.side_cells=1000,93.88260918547448,duration,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=10000 durmax_low=1 durmax_high=10000,interval-tree,2626fa80c06521f7b7a7a26a9be3762683ec533aeef0a9b33baddb1dd52777c3,2020-09-24T22:24:27Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,16,FALSE,5000,10000000,288038,2677,290715,interval-tree.,17.358820711156167,duration,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-None-uniform-uniform,seed=23512 n=5000  durmin_low=1 durmin_high=10000 durmax_low=1 durmax_high=10000,period-index++,8962159a8b0d8ececbe8d0983ddb1ff21c8cd7f652efb6accfc12b5417072de8,2020-10-12T14:14:26Z,031cc06,ironmaiden,experiments/all.yml,4,5,page_size=10,15,56,FALSE,5000,10000000,4886,683,5569,period-index++.page_size=10,1023.3319688907081,duration,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-None,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 ,BTree,ec0cadfca2f6386c673eeb0393e81f0994ce574684c2d8a0341da8781d87caa4,2020-09-24T21:50:23Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,24,TRUE,5000,10000000,502266,2434,504700,BTree.,9.954884463610915,time,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-None,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 ,grid-file,d714cd95c54786856b65fdda7278bcb772933c472d4e30dd75c0024c2d43dfd6,2020-10-14T14:37:37Z,a71767e,ironmaiden,experiments/all.yml,4,5,side_cells=100,1,2932,FALSE,5000,10000000,9572,367,9939,grid-file.side_cells=100,522.3568742164647,time,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-None,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 ,interval-tree,a40be494356d216e63375ebf7755c6f3982c5abb352a92e2f3b9a5b16462baf3,2020-09-24T21:53:06Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,16,FALSE,5000,10000000,16882,2711,19593,interval-tree.,296.1734391659756,time,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-None,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 ,period-index++,8c6701e77ab8c08e12baed55f44a86464b617a09f79bee97671a45f3aef5619f,2020-10-12T14:14:16Z,031cc06,ironmaiden,experiments/all.yml,4,5,page_size=500,15,56,FALSE,5000,10000000,9134,737,9871,period-index++.page_size=500,547.4052988832932,time,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-uniform-uniform,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=100,BTree,5db52e36048cd1b3142c979b64fe5c4223f10ae5b1a8448e3b54841351ffb36b,2020-09-24T20:20:27Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,24,FALSE,5000,10000000,3358,2344,5702,BTree.,1488.9815366289458,both,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-uniform-uniform,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=100,grid-file,717c19ee5419fe3eb70dfa4c2c1fa300ffbe31b8a4f19f7a221573407a97625c,2020-10-14T14:36:09Z,a71767e,ironmaiden,experiments/all.yml,4,5,side_cells=1000,1,28132,FALSE,5000,10000000,5342,664,6006,grid-file.side_cells=1000,935.9790340696368,both,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-uniform-uniform,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=100,interval-tree,3c43dca4333ee949b14ae76ef5cf5565630cbce17553cdb801cd13f0ad4fc671,2020-09-24T20:20:45Z,63ed3b4,ironmaiden,experiments/all.yml,4,5,,5,16,FALSE,5000,10000000,15157,2724,17881,interval-tree.,329.88058322887116,both,clustered
random-clustered-zipf,seed=123 n=10000000 start_n=10 start_high=10000000 start_stddev=100000 dur_n=10000000 dur_beta=1,random-uniform-zipf-uniform-uniform,seed=23512 n=5000 start_low=1 start_high=10000000 dur_n=10000000 dur_beta=1 durmin_low=1 durmin_high=100 durmax_low=1 durmax_high=100,period-index++,7062d000689e09ce1459adf734c246af2f3f7eb5603073f2ae3d5fe6551c396b,2020-10-12T14:12:35Z,031cc06,ironmaiden,experiments/all.yml,4,5,page_size=10,15,56,FALSE,5000,10000000,213,681,894,period-index++.page_size=10,23474.17840375587,both,clustered
